composition,Phase,Mean VEC,electronegativity_difference,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Mo1 Nb1 Ti1 V1,BCC,5.0,0.4275,7.5,169.5,-2.75,11.52565131835077,1.6600000000000001,64.75,-0.10547856446407547,0.25394672112818834,2442.5,6.1375,6.8580000000000005,0.12393750000000003
Al0.25 Nb1 Ta1 Ti1 V1,BCC,5.588235294117647,0.07000000000000006,23.764705882352928,130.0,-4.8166089965397925,12.707663913447359,1.781764705882353,50.48823529411765,-0.03401370281790054,0.06732898237385354,2446.4394117647057,6.275294117647058,6.9928235294117655,0.005035294117647055
Al0.5 Nb1 Ta1 Ti1 V1,BCC,5.444444444444445,0.07222222222222219,22.444444444444457,126.66666666666667,-8.39506172839506,13.14521343892854,1.8499999999999999,49.14444444444444,-0.040249529123975024,0.07982403861916589,2362.3855555555556,6.113333333333332,6.936888888888889,0.004923456790123453
Al1 Nb1 Ta1 Ti1 V1,BCC,5.2,0.07600000000000007,20.19999999999999,121.0,-13.440000000000003,13.380866803977112,1.966,46.86000000000001,-0.047922011117039844,0.10040641942681579,2219.494,5.838000000000001,6.841800000000001,0.0046879999999999995
Nb1 Ta1 Ti1 V1,BCC,5.75,0.06750000000000012,9.25,133.75,-0.25,11.52565131835077,1.705,52.0,-0.025142628272502972,0.053069526627218935,2541.0,6.4575,7.05575,0.0051374999999999945
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC,6.0,0.6723809523809525,12.0,138.52380952380952,1.5600907029478455,14.335348767850856,1.8128571428571425,46.476190476190474,-0.07645255240128875,0.21073804084923412,2540.7619047619046,6.6238095238095225,6.992523809523809,0.07184580498866212
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,BCC,6.0,0.6418181818181816,11.454545454545467,147.1818181818182,0.5950413223140496,14.697168880613484,1.793636363636364,49.81818181818182,-0.09821971173267174,0.26958015877244396,2556.909090909091,6.632727272727273,6.9973636363636365,0.1078115702479339
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,BCC,6.0,0.6139130434782609,10.956521739130437,155.08695652173913,-0.21172022684309993,14.854820038583846,1.7760869565217392,52.869565217391305,-0.11423359231342768,0.3022366256925208,2571.6521739130435,6.640869565217391,7.0017826086956525,0.13738676748582232
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,BCC,5.2490622655663906,0.15998124531132762,8.49849962490623,121.36271567891971,1.874061913828044,12.420633226262158,2.0901275318829704,41.87246811702926,-0.032333252359487114,0.07573756106105836,2327.9047261815454,6.162145536384095,6.9031207801950485,0.024948761487070932
Hf1 Nb1 Ti1 Zr1,BCC,5.25,0.15749999999999997,7.0,114.75,2.5,11.52565131835077,1.9,36.25,-0.01041275632707072,0.021450653983353152,2331.25,6.2425,6.7615,0.0336375
Mo1 Nb1 Ta1 V1 W1,BCC,7.0,0.5099999999999998,6.800000000000011,231.8,-4.640000000000001,13.380866803977112,1.322,89.0,-0.11551357627098299,0.2567857593738164,2962.8,7.340000000000001,7.2716,0.23584000000000005
Mo1 Nb1 Ta1 W1,BCC,7.5,0.45500000000000007,3.5,257.75,-6.5,11.52565131835077,1.4275,97.0,-0.10950414101548257,0.23621001169093425,3157.75,7.8475,7.4030000000000005,0.26454999999999995
Mo1 Nb1 Ti1 V0.25 Zr1,BCC,4.764705882352941,0.5041176470588236,13.176470588235304,159.05882352941177,-2.602076124567474,12.70766391344736,1.7541176470588236,58.647058823529406,-0.13638963105948904,0.3463912298580798,2414.294117647059,6.3758823529411774,6.825058823529412,0.17743667820069214
Mo1 Nb1 Ti1 V0.5 Zr1,BCC,4.777777777777778,0.5055555555555555,13.555555555555543,157.33333333333334,-2.6666666666666665,13.145213438928542,1.7066666666666668,58.55555555555556,-0.12921406312370046,0.3282120340331762,2401.444444444444,6.316666666666666,6.820666666666666,0.16764938271604937
Mo1 Nb1 Ti1 V0.75 Zr1,BCC,4.7894736842105265,0.5068421052631578,14.21052631578948,155.78947368421052,-2.7036011080332405,13.332065209759664,1.6642105263157894,58.473684210526315,-0.122741062024142,0.3118443257467061,2389.9473684210525,6.263684210526315,6.816736842105263,0.1588853185595568
Mo1 Nb1 Ti1 V1 Zr1,BCC,4.8,0.5079999999999998,14.800000000000011,154.4,-2.72,13.380866803977112,1.6260000000000001,58.400000000000006,-0.11687454627316524,0.297030399699756,2379.6,6.216,6.8132,0.15099200000000004
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,BCC,4.818157033805889,0.5099972737186478,15.816793893129756,152.00327153762268,-2.7107888199274814,13.254235926653271,1.5600899672846236,58.27290076335877,-0.1066689148075179,0.27129145006405475,2361.751635768811,6.133748636859324,6.807099236641222,0.1373640675969123
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,BCC,4.833333333333333,0.5116666666666667,16.666666666666657,150.0,-2.6666666666666665,12.975746340770252,1.505,58.166666666666664,-0.09805948246707426,0.24959565192403996,2346.833333333333,6.0649999999999995,6.802,0.12596111111111113
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC,4.857204116638079,0.5142924528301889,18.003430531732448,146.84905660377356,-2.5301569041657714,12.261545287710602,1.4183490566037735,57.99957118353345,-0.08438292966002986,0.2151309948483813,2323.3683533447684,5.956865351629501,6.793979416809606,0.10800285810220396
Mo1 Nb1 Ti1 Zr1,BCC,4.75,0.5025,12.0,161.0,-2.5,11.52565131835077,1.8075,58.75,-0.14438422642602955,0.36669986419194195,2428.75,6.442500000000001,6.83,0.18843750000000004
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC,7.363636363636363,0.19363636363636338,17.4848484848485,180.42424242424244,-9.520661157024794,17.89357470884369,1.3203030303030303,65.31818181818183,-0.06789630423964527,0.14396923149935903,1784.3803030303034,4.196363636363636,7.32369696969697,0.04380385674931127
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,7.142857142857143,0.16142857142857148,5.857142857142861,167.00000000000003,-8.653061224489793,14.531775362338621,1.597142857142857,64.12857142857143,-0.09463955120574263,0.21811530981328528,1530.2442857142858,3.9171428571428573,7.126857142857143,0.03299591836734691
Al1 Cr1 Mo1 Nb1 Ti1,BCC,4.8,0.4460000000000002,17.599999999999994,179.79999999999998,-13.600000000000005,13.380866803977112,1.9340000000000002,68.66000000000001,-0.15712152330712567,0.3447337653957335,2140.094,5.34,6.687800000000001,0.10236800000000007
Co1 Cr1 Mo1 Nb1 Ti0.4,BCC,6.2727272727272725,0.36090909090909107,11.363636363636374,220.09090909090912,-12.768595041322314,13.010609348225904,1.3345454545454545,83.0909090909091,-0.08348717421789986,0.1675672375735579,2356.909090909091,5.640909090909091,7.099363636363636,0.10119834710743805
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,6.163491087891827,0.20012292562999412,10.993853718500276,133.5562384757222,2.4426463538422194,12.446203507885373,1.757461585740627,47.3140749846343,-0.04906352091228643,0.0997404777829955,2673.234787953288,6.992925629993853,7.108121696373694,0.02049609762123418
Al0.2 Mo1 Ta1 Ti1 V1,BCC,5.857142857142858,0.4571428571428573,22.38095238095238,184.04761904761904,-5.668934240362811,12.568476876778147,1.7838095238095235,70.3,-0.08223080349684223,0.17958278495824348,2499.212857142857,6.131428571428572,7.085761904761904,0.13508843537414972
Al0.6 Mo1 Ta1 Ti1 V1,BCC,5.608695652173914,0.4652173913043478,20.434782608695656,174.13043478260872,-10.018903591682422,13.241589181517465,1.8904347826086956,66.47391304347828,-0.09889496985232862,0.21817057463703396,2363.061304347826,5.890434782608695,6.99013043478261,0.12471077504725905
Al1 Mo1 Ta1 Ti1 V1,BCC,5.4,0.472,18.80000000000001,165.79999999999998,-12.960000000000003,13.380866803977112,1.9799999999999998,63.26,-0.10859574227346189,0.2513127751930143,2248.694,5.688000000000001,6.909800000000001,0.11579200000000006
Mo1 Ta1 Ti1 V1,BCC,6.0,0.4525000000000001,7.5,189.75,-2.75,11.52565131835077,1.7225000000000001,72.5,-0.06945832172098007,0.1579548156956005,2577.5,6.27,7.140750000000001,0.14093750000000008
Hf1 Nb1 Ta1 Zr1,BCC,6.5,0.16749999999999998,7.25,132.25,3.5,11.52565131835077,1.5350000000000001,42.5,-0.05903558474719785,0.1341176470588235,2668.5,7.055,7.027,0.030337500000000003
Hf1 Ta1 Ti1 Zr1,BCC,6.25,0.12250000000000005,7.0,135.0,1.75,11.52565131835077,1.9625,44.0,-0.05446629495153009,0.12164256198347106,2466.25,6.375,7.04425,0.02163749999999999
Mo1 Nb1 Ta1 Ti0.25 W1,BCC,7.294117647058823,0.4764705882352942,4.235294117647072,249.41176470588232,-6.145328719723183,12.70766391344736,1.521764705882353,93.88235294117646,-0.1198439186416531,0.25497013209716024,3086.176470588235,7.671176470588234,7.369176470588236,0.2637397923875432
Mo1 Nb1 Ta1 Ti0.5 W1,BCC,7.111111111111111,0.49555555555555575,4.0,242.0,-5.827160493827161,13.145213438928542,1.6055555555555554,91.11111111111111,-0.12657772211468177,0.2714039262343843,3022.5555555555557,7.514444444444444,7.3391111111111105,0.2614716049382716
Mo1 Nb1 Ta1 Ti0.75 W1,BCC,6.947368421052632,0.5126315789473683,4.21052631578948,235.36842105263156,-5.540166204986148,13.332065209759664,1.6805263157894736,88.63157894736841,-0.13087657608262349,0.2857944832177657,2965.6315789473683,7.374210526315789,7.312210526315789,0.2582072022160664
Mo1 Nb1 Ta1 Ti1 V1,BCC,5.8,0.4740000000000002,8.400000000000006,172.79999999999998,-2.5600000000000005,13.380866803977112,1.6420000000000001,65.60000000000001,-0.08388383621484514,0.19859830458060676,2612.0,6.53,7.064400000000001,0.11644800000000005
Nb1 Ta1 Ti1 V1 W1,BCC,6.6,0.6339999999999997,8.400000000000006,189.2,-3.6800000000000006,13.380866803977112,1.6500000000000001,73.80000000000001,-0.14185608230474595,0.37010597748253904,2771.8,6.946000000000001,7.2174000000000005,0.205088
Nb1 Ta1 V1 W1,BCC,7.25,0.5874999999999999,7.25,207.5,-4.5,11.52565131835077,1.305,81.25,-0.1381505378943575,0.33964497041420116,2979.5,7.470000000000001,7.314750000000001,0.23473749999999993
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC,4.6,0.06800000000000006,20.80000000000001,143.0,-10.96,12.228301672142035,2.0509999999999997,56.53,-0.11237539611009699,0.28370775327102615,2074.047,5.140999999999999,6.7096,0.004391999999999992
Mo1 Nb1 Re0.5 W1,BCC,7.571428571428571,0.41999999999999993,5.285714285714278,307.57142857142856,-10.612244897959183,11.238732128524116,1.3828571428571428,116.57142857142857,-0.1000622413131534,0.21121984332948868,3162.999999999999,7.782857142857143,7.331999999999999,0.18217142857142848
Nb1 Ti1 Zr1,BCC,4.333333333333333,0.16000000000000014,9.0,104.99999999999999,2.6666666666666665,9.133862567986663,1.9466666666666663,38.33333333333333,-0.00668431432267997,0.013761814744801502,2273.0,6.316666666666666,6.740333333333333,0.026799999999999997
Hf0.25 Ti1 V0.5 Zr0.5,BCC,4.666666666666667,0.18666666666666654,14.333333333333343,116.88888888888889,-1.7777777777777777,10.583957590406147,2.073333333333333,42.888888888888886,-0.022645387784766227,0.04620258261966764,2099.111111111111,5.455555555555556,6.766333333333334,0.030311111111111084
Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,4.684210526315789,0.19263157894736826,14.21052631578948,116.26315789473685,-1.196675900277008,11.741187899875777,2.0336842105263155,42.631578947368425,-0.02205676525521879,0.04495656149977138,2133.3684210526317,5.566842105263158,6.7659473684210525,0.029996675900276982
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,4.7,0.19799999999999995,14.099999999999994,115.7,-0.7200000000000002,12.228301672142035,1.998,42.400000000000006,-0.021435570868230485,0.04374332502669987,2164.2,5.667,6.765600000000001,0.02959199999999999
Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,4.714285714285714,0.20285714285714285,14.0,115.19047619047618,-0.3265306122448979,12.481670719169388,1.9657142857142855,42.19047619047618,-0.020805920872068877,0.042568369775132626,2192.095238095238,5.7576190476190465,6.765285714285715,0.029126530612244877
Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,4.7272727272727275,0.20727272727272705,13.909090909090907,114.72727272727272,0.0,12.601595913640617,1.9363636363636365,42.0,-0.020182599202530977,0.04143475572047002,2217.4545454545455,5.840000000000001,6.765,0.028621487603305774
Cr1 Fe1 Ni1 Ti0.4,BCC,7.529411764705883,0.22941176470588243,18.529411764705884,216.58823529411765,-11.626297577854672,11.070709073188826,1.2770588235294118,85.47058823529412,-0.03561317777358181,0.06690005584477898,1910.4117647058824,4.341176470588236,7.364764705882353,0.03321107266435987
Cr1 Fe1 Ni1 Ti0.5,BCC,7.428571428571429,0.22285714285714286,18.0,213.71428571428572,-12.897959183673468,11.238732128524116,1.327142857142857,84.28571428571428,-0.038448933369654645,0.07354783108302212,1911.2857142857142,4.355714285714286,7.349428571428572,0.03518367346938775
Cr1 Fe1 Ni1 Ti0.6,BCC,7.333333333333333,0.21666666666666656,17.5,211.00000000000003,-14.012345679012345,11.357518030503343,1.3744444444444444,83.16666666666667,-0.040842402697596154,0.07977879606909208,1912.111111111111,4.3694444444444445,7.334944444444444,0.03688888888888889
Nb1 Ta1 Ti1 Zr1,BCC,5.5,0.1625000000000001,10.25,125.25,2.5,11.52565131835077,1.8525,46.0,-0.04135061204888789,0.09050094517958412,2527.25,6.7625,7.02775,0.0201375
Nb1 Ta1 Ti1,BCC,6.0,0.05333333333333323,0.6666666666666572,135.66666666666666,1.3333333333333333,9.133862567986663,1.9733333333333332,50.33333333333333,-0.03360606528783796,0.07113723082320951,2660.333333333333,6.839999999999999,7.159,0.0033777777777777834
Hf1 Mo1 Nb1 Ta1 Zr1,BCC,6.4,0.5820000000000001,11.0,171.60000000000002,-1.12,13.380866803977112,1.5060000000000002,58.00000000000001,-0.13951695793027075,0.3432818073721759,2714.0,7.008000000000001,7.041400000000001,0.19363200000000005
Hf1 Mo1 Nb1 Ta1 Ti1,BCC,6.4,0.5399999999999998,11.599999999999994,176.0,-1.4400000000000004,13.380866803977112,1.814,60.2,-0.12099020886448232,0.2936391430558162,2676.6000000000004,6.672000000000001,7.080200000000001,0.16608000000000012
Mn0.1 Ti0.9,BCC,4.3,0.008999999999999897,18.0,124.2,-2.8800000000000003,2.7027398407765,2.832,43.1,-0.00210177973604965,0.003924397478480418,1898.8000000000002,4.657,6.8886,1.8000000000000034e-05
Mn0.5 V0.5,BCC,6.0,0.040000000000000036,3.5,163.0,-1.0,5.762825659175385,0.9750000000000001,46.0,-0.025785141578540796,0.05718336483931945,1851.0,4.115,7.09,0.003199999999999988
Mn0.565 V0.435,BCC,6.129999999999999,0.04519999999999991,3.9550000000000125,167.54999999999998,-0.9830999999999999,5.69237312913786,0.98475,44.56999999999999,-0.026171028723102563,0.0598822070079667,1807.84,3.95965,7.13472,0.003145919999999988
Mn0.9 V0.1,BCC,6.8,0.07199999999999984,6.299999999999997,191.00000000000003,-0.36000000000000004,2.7027398407765,1.0350000000000001,37.2,-0.012210860366120693,0.03147762747138398,1585.4,3.1590000000000003,7.3652,0.001151999999999996
Mn0.253 Cr0.747,BCC,6.253,0.08216999999999985,0.7469999999999999,258.507,1.511928,4.702456972461396,0.95289,94.76,-0.07424981424787555,0.13470105365829668,2012.767,3.8014599999999996,6.935751000000001,0.004573582199999989
Mn0.43 Cr0.57,BCC,6.43,0.06269999999999976,0.5699999999999932,244.16999999999996,1.9607999999999999,5.6810801914556155,0.9759,80.6,-0.10781830019276573,0.24146445086171334,1895.77,3.5926,7.05381,0.005931419999999986
Mn0.5 Cr0.5,BCC,6.5,0.05499999999999994,0.5,238.5,2.0,5.762825659175385,0.9850000000000001,75.0,-0.11721611721611722,0.2844444444444445,1849.5,3.51,7.1005,0.006049999999999986
Mn0.6 Cr0.4,BCC,6.6000000000000005,0.06600000000000006,0.5999999999999943,230.4,1.92,5.595418999514958,0.998,67.0,-0.1259768123929689,0.3421697482735577,1783.4,3.392,7.1672,0.005807999999999986
Mn0.67 Cr0.33,BCC,6.67,0.07369999999999988,0.6699999999999875,224.73000000000002,1.7688000000000001,5.272561177311278,1.0071,61.400000000000006,-0.12780859495806196,0.3753461575189126,1737.13,3.3094,7.213890000000001,0.005350619999999988
Mn0.99 Cr0.01,BCC,6.989999999999999,0.1089,0.9899999999999949,198.81,0.0792,0.4655967566262008,1.0487000000000002,35.8,-0.011676276920739956,0.04943665928029712,1525.61,2.9318,7.4273299999999995,0.00023957999999999946
Mn0.05 Fe0.95,BCC,7.949999999999999,0.2659999999999998,0.950000000000017,210.35,0.0,1.6504557331775846,1.05,79.64999999999999,-0.010955627275768532,0.016539324390410184,1796.3999999999999,4.212,7.8786,0.0074480000000000015
Mn0.18 Fe0.82,BCC,7.819999999999999,0.2295999999999998,0.8200000000000074,208.65999999999997,0.0,3.9191654493391233,1.05,73.53999999999999,-0.034755488571240195,0.060288547712115594,1758.44,4.0352,7.81776,0.02314368
Mn0.65 Fe0.35,BCC,7.35,0.18199999999999994,0.6499999999999915,202.55,0.0,5.382871356933935,1.05,51.45,-0.07178038548975268,0.18984814528338054,1621.1999999999998,3.396,7.5978,0.035672
Mn0.15 Mo0.85,BCC,6.1499999999999995,0.5185000000000002,10.199999999999989,309.34999999999997,2.55,3.514403356019008,1.339,107.25,-0.050547735722126244,0.08008541574975142,2689.45,6.234999999999999,7.14925,0.09488550000000003
Fe0.25 Ti0.75,BCC,5.0,0.21750000000000003,15.75,139.75,-12.75,4.675254392360772,2.535,53.5,-0.03628835926480889,0.09459341427198882,1908.5,4.7075,7.096500000000001,0.03153750000000001
Fe0.35 Ti0.65,BCC,5.4,0.1884999999999999,13.649999999999977,149.25,-15.469999999999999,5.382871356933935,2.337,57.3,-0.0403926934971023,0.10005512763112613,1895.5,4.6505,7.2039,0.03826550000000001
Fe0.8 Ti0.2,BCC,7.2,0.2320000000000002,16.799999999999983,192.0,-10.880000000000003,4.160345749296494,1.4460000000000002,74.4,-0.022846395016068485,0.041738929355994915,1837.0000000000002,4.394,7.687200000000001,0.026912000000000012
